id,title,artist,found_preview_url
87173,Love Me Not,Ravyn Lenae,"https://cdnt-preview.dzcdn.net/api/1/1/6/6/c/0/66c749bb1dba9587c4fd2fff30b0c89a.mp3?hdnea=exp=1760062827~acl=/api/1/1/6/6/c/0/66c749bb1dba9587c4fd2fff30b0c89a.mp3*~data=user_id=0,application_id=42~hmac=8aea47c10668cc0c33d159e869678e116d38a0808dbf51f0c332e1755d1c69db"
87174,Smooth (feat. Rob Thomas),Santana,"https://cdnt-preview.dzcdn.net/api/1/1/0/6/6/0/066818622bab6266aa80190fa52124cc.mp3?hdnea=exp=1760062827~acl=/api/1/1/0/6/6/0/066818622bab6266aa80190fa52124cc.mp3*~data=user_id=0,application_id=42~hmac=06afa4a08ca0434b85cadf73da69bd328e907ceb8cc071924418de35985c67c6"
87175,Ordinary,Alex Warren,"https://cdnt-preview.dzcdn.net/api/1/1/5/9/7/0/597a83bc1aad2dc52435b507c1e81ca4.mp3?hdnea=exp=1760062828~acl=/api/1/1/5/9/7/0/597a83bc1aad2dc52435b507c1e81ca4.mp3*~data=user_id=0,application_id=42~hmac=664a764e5a0f62c1fba7918b7b3dfcd9c11ca7cef425b574fd75560160c46c07"
87176,Soda Pop (version française),Saja Boys,"https://cdnt-preview.dzcdn.net/api/1/1/6/2/2/0/622d75eadf31d3586dbf7e7b44b9f161.mp3?hdnea=exp=1760062829~acl=/api/1/1/6/2/2/0/622d75eadf31d3586dbf7e7b44b9f161.mp3*~data=user_id=0,application_id=42~hmac=342862cb72b82862943bec33a6149b81c4fdc205b4655f71faa176920501f818"
87177,Get Lucky (Radio Edit - feat. Pharrell Williams and Nile Rodgers),Daft Punk,"https://cdnt-preview.dzcdn.net/api/1/1/1/b/f/0/1bf80a82992903ff685ba1b7275223f8.mp3?hdnea=exp=1760062829~acl=/api/1/1/1/b/f/0/1bf80a82992903ff685ba1b7275223f8.mp3*~data=user_id=0,application_id=42~hmac=7d2d439008b78fc068dd4c4fe86ac338a06abda9d0649d6c9cbb6450ee3f76ff"
87178,Europa,Jul,"https://cdnt-preview.dzcdn.net/api/1/1/a/5/d/0/a5dd12276aabcb86d5e6bca7917f2ae6.mp3?hdnea=exp=1760062830~acl=/api/1/1/a/5/d/0/a5dd12276aabcb86d5e6bca7917f2ae6.mp3*~data=user_id=0,application_id=42~hmac=4bdbfceae378ff0db31d63d95617ee576f156b24fd28c4583daa5312b87b230a"
87179,I'm This,Peter Cat Recording Co.,"https://cdnt-preview.dzcdn.net/api/1/1/a/1/9/0/a194e1eec19ce9882c35554b486a8032.mp3?hdnea=exp=1760062830~acl=/api/1/1/a/1/9/0/a194e1eec19ce9882c35554b486a8032.mp3*~data=user_id=0,application_id=42~hmac=2f2542f7f510d1bdaec7edbf2ec57248a05de9004cfddd6b29f979722ecacd10"
87180,(White Man) in Hammersmith Palais,The Clash,"https://cdnt-preview.dzcdn.net/api/1/1/e/8/6/0/e86f2a9ee30f3927c0285c256c0467c2.mp3?hdnea=exp=1760062831~acl=/api/1/1/e/8/6/0/e86f2a9ee30f3927c0285c256c0467c2.mp3*~data=user_id=0,application_id=42~hmac=dd31094908d4a3e186270f75d19f3709fcda45ad2c90a58a019b53196de9a25b"
87181,Nantes,Beirut,"https://cdnt-preview.dzcdn.net/api/1/1/5/9/0/0/5903283152c1b212ed2e3c7b8b803c19.mp3?hdnea=exp=1760062831~acl=/api/1/1/5/9/0/0/5903283152c1b212ed2e3c7b8b803c19.mp3*~data=user_id=0,application_id=42~hmac=97fe7315afcdfde6b28c3f5b2acfe979b01b0d00bd057b604c21093652607185"
87182,Skyfall,Adele,"https://cdnt-preview.dzcdn.net/api/1/1/e/2/6/0/e26bc2264f5f33f2587b0f5cc0b3b54e.mp3?hdnea=exp=1760062832~acl=/api/1/1/e/2/6/0/e26bc2264f5f33f2587b0f5cc0b3b54e.mp3*~data=user_id=0,application_id=42~hmac=58e814acb8825730ef222099e2bf70189dfac721825441f319d163fd674c9d94"
87183,"У друзей нет выходных (из мультфильма ""Барбарики"")",Барбарики,"https://cdnt-preview.dzcdn.net/api/1/1/9/7/a/0/97a6c94d0bda14fbf3341ce4604f2e4f.mp3?hdnea=exp=1760062832~acl=/api/1/1/9/7/a/0/97a6c94d0bda14fbf3341ce4604f2e4f.mp3*~data=user_id=0,application_id=42~hmac=cf383d1bf53e647e6c4f6adb80783d0db5c92a8cdd7c7eb6b070e2a76a00fd9d"
87184,You Are the Right One,Sports,"https://cdnt-preview.dzcdn.net/api/1/1/3/1/2/0/312241ca7e3c3f370f15798cbbea3ff4.mp3?hdnea=exp=1760062833~acl=/api/1/1/3/1/2/0/312241ca7e3c3f370f15798cbbea3ff4.mp3*~data=user_id=0,application_id=42~hmac=c476863425e9004774bc4dcb649467fd87769d5d8c753209b3109e660eae40b8"
87185,Haunted,Beyoncé,"https://cdnt-preview.dzcdn.net/api/1/1/a/4/b/0/a4b3fe3c81b7484269798d3889f4fdd0.mp3?hdnea=exp=1760062834~acl=/api/1/1/a/4/b/0/a4b3fe3c81b7484269798d3889f4fdd0.mp3*~data=user_id=0,application_id=42~hmac=746de0fe1cb7a8733991c7c1941aad6fc338f1275865d7e75aff006a1cb4c69b"
87186,Let's Get Lost,Fay Claassen,"https://cdnt-preview.dzcdn.net/api/1/1/f/3/3/0/f336b4cac6d440a62e54767a629249ac.mp3?hdnea=exp=1760062834~acl=/api/1/1/f/3/3/0/f336b4cac6d440a62e54767a629249ac.mp3*~data=user_id=0,application_id=42~hmac=c8f59816dd34d49299bc4fd1af5b40a23fe425dfdce7fbe2e0ecb5ac77743a2e"
87187,Instant Crush (feat. Julian Casablancas),Daft Punk,"https://cdnt-preview.dzcdn.net/api/1/1/d/6/b/0/d6bc80aadfa1d7625d59a6620f229371.mp3?hdnea=exp=1760062835~acl=/api/1/1/d/6/b/0/d6bc80aadfa1d7625d59a6620f229371.mp3*~data=user_id=0,application_id=42~hmac=c31f7a845d9a71b1596d3be737196aacb9b0cb63ee30828bec59957f46ff5625"
87188,Veridis Quo,Daft Punk,"https://cdnt-preview.dzcdn.net/api/1/1/6/4/5/0/6456b666c0b1d4537e34d71e5cbd098c.mp3?hdnea=exp=1760062835~acl=/api/1/1/6/4/5/0/6456b666c0b1d4537e34d71e5cbd098c.mp3*~data=user_id=0,application_id=42~hmac=2a6d98037cf7ff896a9c616827047fc7402d46e00b3456cb993e0f3505f2bf06"
87189,One More Time,Daft Punk,"https://cdnt-preview.dzcdn.net/api/1/1/f/8/c/0/f8c5dc3837912dba37c9a1ab3170cc3f.mp3?hdnea=exp=1760062836~acl=/api/1/1/f/8/c/0/f8c5dc3837912dba37c9a1ab3170cc3f.mp3*~data=user_id=0,application_id=42~hmac=0fc2ff6ebc476d946c4709321b609b575e97551d2a5f78440f97ae92e8c6e6a9"
87190,Around the World,Daft Punk,"https://cdnt-preview.dzcdn.net/api/1/1/a/4/7/0/a47dbed01e6d9b0ac4e39a134f745ca2.mp3?hdnea=exp=1760062836~acl=/api/1/1/a/4/7/0/a47dbed01e6d9b0ac4e39a134f745ca2.mp3*~data=user_id=0,application_id=42~hmac=2865618470eaede77d7925e240039aa351c7525d8bc67887280075b90c0164f2"
87191,Get Lucky (feat. Pharrell Williams and Nile Rodgers),Daft Punk,"https://cdnt-preview.dzcdn.net/api/1/1/1/b/f/0/1bf80a82992903ff685ba1b7275223f8.mp3?hdnea=exp=1760062837~acl=/api/1/1/1/b/f/0/1bf80a82992903ff685ba1b7275223f8.mp3*~data=user_id=0,application_id=42~hmac=ff06edae40f77e5c4fc6ceaca9745ff4ef28bce741d595265b39ba8247b597f5"
87192,"Harder, Better, Faster, Stronger",Daft Punk,"https://cdnt-preview.dzcdn.net/api/1/1/c/4/d/0/c4d7dbe3524ba59d2ad06d8cccd2484f.mp3?hdnea=exp=1760062837~acl=/api/1/1/c/4/d/0/c4d7dbe3524ba59d2ad06d8cccd2484f.mp3*~data=user_id=0,application_id=42~hmac=d976b2198ef3b833a1e7949a90fb676c4a911e378d3a9506affd53d974eafec5"
87193,Da Funk,Daft Punk,"https://cdnt-preview.dzcdn.net/api/1/1/7/6/8/0/76889b34d1906099d7b365b8573e4ea7.mp3?hdnea=exp=1760062838~acl=/api/1/1/7/6/8/0/76889b34d1906099d7b365b8573e4ea7.mp3*~data=user_id=0,application_id=42~hmac=a70e4a99167746863f27858e51bd04b70ca94ab6b1bdd3fe377dc3ce96a687de"
87194,Lose Yourself to Dance (feat. Pharrell Williams),Daft Punk,"https://cdnt-preview.dzcdn.net/api/1/1/e/5/3/0/e53185570f71c51bf4903d1e78ed5348.mp3?hdnea=exp=1760062839~acl=/api/1/1/e/5/3/0/e53185570f71c51bf4903d1e78ed5348.mp3*~data=user_id=0,application_id=42~hmac=0fa6443fe59ef01a094522251ab5326a7f03058f387e9f93fa4afba2f8207057"
87195,Something About Us,Daft Punk,"https://cdnt-preview.dzcdn.net/api/1/1/c/f/f/0/cff7c95e11ba9f6ac3ff0401a81df4f5.mp3?hdnea=exp=1760062839~acl=/api/1/1/c/f/f/0/cff7c95e11ba9f6ac3ff0401a81df4f5.mp3*~data=user_id=0,application_id=42~hmac=569e569dcfd0f8402352b62f42c5ced1adbce312bc1951f289cd17f852c368c5"
87196,Giorgio by Moroder,Daft Punk,"https://cdnt-preview.dzcdn.net/api/1/1/2/2/6/0/226a352b5354e78a964d5dad5875ded9.mp3?hdnea=exp=1760062840~acl=/api/1/1/2/2/6/0/226a352b5354e78a964d5dad5875ded9.mp3*~data=user_id=0,application_id=42~hmac=6c1f6e9dc14cd6cc6e4c921eef771e066a811d22c4a65fbc13a3a6d91f030c87"
87197,Aerodynamic,Daft Punk,"https://cdnt-preview.dzcdn.net/api/1/1/6/9/9/0/699d41611cf0280f0a55c8ba4a372c14.mp3?hdnea=exp=1760062840~acl=/api/1/1/6/9/9/0/699d41611cf0280f0a55c8ba4a372c14.mp3*~data=user_id=0,application_id=42~hmac=d06d2b158229769f22d307047816ad1a25f075ab290989829a7062f67939f21f"
87198,Digital Love,Daft Punk,"https://cdnt-preview.dzcdn.net/api/1/1/9/e/9/0/9e9f1086d844a1e5eef43ba230c508a9.mp3?hdnea=exp=1760062841~acl=/api/1/1/9/e/9/0/9e9f1086d844a1e5eef43ba230c508a9.mp3*~data=user_id=0,application_id=42~hmac=6e76070ae8272222d20886292675cf07482c4607573f0f1f0089071c45f2d175"
87199,Within,Daft Punk,"https://cdnt-preview.dzcdn.net/api/1/1/1/0/9/0/10972c895bf5b6303939096203323285.mp3?hdnea=exp=1760062841~acl=/api/1/1/1/0/9/0/10972c895bf5b6303939096203323285.mp3*~data=user_id=0,application_id=42~hmac=916302da83da61c1c5f314e4cc32df5efe9d2ae850b23421d99070ddf7700e29"
87200,Give Life Back to Music,Daft Punk,"https://cdnt-preview.dzcdn.net/api/1/1/f/5/7/0/f57885aeb81258994e3d44d33867e85e.mp3?hdnea=exp=1760062842~acl=/api/1/1/f/5/7/0/f57885aeb81258994e3d44d33867e85e.mp3*~data=user_id=0,application_id=42~hmac=8b27d07feafce31c5573c96663ea19a1b5f00c9b59f38a3eca0852d5ada66781"
87201,End of Line,Daft Punk,"https://cdnt-preview.dzcdn.net/api/1/1/7/6/0/0/760dcb19e44e71431728609af07feff7.mp3?hdnea=exp=1760062842~acl=/api/1/1/7/6/0/0/760dcb19e44e71431728609af07feff7.mp3*~data=user_id=0,application_id=42~hmac=1b1277967bf9f46ffe42a01d560625e0d29a82b9378e1b68c67aadb2ee389d2d"
87202,"Around the World / Harder, Better, Faster, Stronger",Daft Punk,"https://cdnt-preview.dzcdn.net/api/1/1/c/0/3/0/c03b2bdb725b92998a9d8da44b616ef4.mp3?hdnea=exp=1760062843~acl=/api/1/1/c/0/3/0/c03b2bdb725b92998a9d8da44b616ef4.mp3*~data=user_id=0,application_id=42~hmac=de79c89bd94a78d59369e7b1ec9a2b03d0f5f9806c4b6636b06da15a6a94d75c"
87203,Fragments of Time (feat. Todd Edwards),Daft Punk,"https://cdnt-preview.dzcdn.net/api/1/1/1/4/0/0/14035d6807f81fd20c5c6c4451be2af2.mp3?hdnea=exp=1760062844~acl=/api/1/1/1/4/0/0/14035d6807f81fd20c5c6c4451be2af2.mp3*~data=user_id=0,application_id=42~hmac=f8e8a28222c5be5894631634f666463db6fd0a9b3abf04977e38ccd561424f3d"
87204,Face to Face,Daft Punk,"https://cdnt-preview.dzcdn.net/api/1/1/b/c/5/0/bc5ffa003d9ccf020a633083738c6ae4.mp3?hdnea=exp=1760062844~acl=/api/1/1/b/c/5/0/bc5ffa003d9ccf020a633083738c6ae4.mp3*~data=user_id=0,application_id=42~hmac=cbefed94a9567e3bf4a14ae2154a5bc272012dee22a00a50dab9abdf9c7f09cb"
87205,The Game of Love,Daft Punk,"https://cdnt-preview.dzcdn.net/api/1/1/4/7/5/0/475fc61bd3272b9036d4ba0e3837451b.mp3?hdnea=exp=1760062845~acl=/api/1/1/4/7/5/0/475fc61bd3272b9036d4ba0e3837451b.mp3*~data=user_id=0,application_id=42~hmac=17c24741a64ca972ad5bd0699376575a5951a3726c4950ac8aa3fe7bb45982ae"
87206,Revolution 909,Daft Punk,"https://cdnt-preview.dzcdn.net/api/1/1/0/c/a/0/0cae6c09cd433adc34351962d128c99d.mp3?hdnea=exp=1760062845~acl=/api/1/1/0/c/a/0/0cae6c09cd433adc34351962d128c99d.mp3*~data=user_id=0,application_id=42~hmac=bdc8cf25d155e3dfa4c4dadd5cd23f0d44b22b0e7a23f8792d3ad8b52b37d275"
